id	anodes	cathodes
0	0,1	2
1	3,4	5
2	6,7	8
3	9,10	11
4	12,13	14
5	15,16	17
6	18,19	20
7	21,22	23
8	24,25	26
9	27,28	29
10	30,31	32
11	33,34	35
12	36,37	38
13	39,40	41
14	42,43	44
15	45,46	47
16	48,49	50
17	51,52	53
18	54,55	56
19	57,58	59
20	60,61	62
21	63,64	65
22	66,67	68
23	69,70	71
24	72,73	74
25	75,76	77
26	78,79	80
27	81,82	83
28	84,85	86
29	87,88	89
30	90,91	92
31	93,94	95
32	96,97	98
33	99,100	101
34	102,103	104
35	105,106	107
36	108,109	110
37	111,112	113
38	114,115	116
39	117,118	119
40	120,121	122
41	123,124	125
42	126,127	128
43	129,130	131
44	132,133	134
45	135,136	137
46	138,139	140
47	141,142	143
48	144,145	146
49	147,148	149
50	150,151	152
51	153,154	155
52	156,157	158
53	159,160	161
54	162,163	164
55	165,166	167
56	168,169	170
57	171,172	173
58	174,175	176
59	177,178	179
60	180,181	182
61	183,184	185
62	186,187	188
63	189,190	191
64	192,193	194
65	195,196	197
66	198,199	200
67	201,202	203
68	204,205	206
69	207,208	209
70	210,211	212
71	213,214	215
72	216,217	218
73	219,220	221
74	222,223	224
75	225,226	227
76	228,229	230
77	231,232	233
78	234,235	236
79	237,238	239
80	240,241	242
81	243,244	245
82	246,247	248
83	249,250	251
84	252,253	254
85	255,256	257
86	258,259	260
87	261,262	263
88	264,265	266
89	267,268	269
90	270,271	272
91	273,274	275
92	276,277	278
93	279,280	281
94	282,283	284
95	285,286	287
96	288,289	290
97	291,292	293
98	294,295	296
99	297,298	299
100	300,301	302
101	303,304	305
102	306,307	308
103	309,310	311
104	312,313	314
105	315,316	317
106	318,319	320
107	321,322	323
108	324,325	326
109	327,328	329
